2021/07/09 02:30:00-02:43:52 JST
fH2O= 62.19 /media/data/L0/Ko210709/02/Ko024300.(00-0d)25ns 24000/40bin dz149.90 7323 shot 0.300mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.192370 1.837000e+01 3.803000e-01 9.749000e-02 1.298000e-01 2.869000e+02 1.202000e+00 2.326841e+03 0.000000e+00 0.000000e+00
0.267320 1.897000e+01 3.004000e-01 2.911000e-01 3.876000e-01 2.864000e+02 1.194000e+00 6.725778e+03 0.000000e+00 0.000000e+00
0.342270 1.906000e+01 2.760000e-01 6.113000e-01 8.140000e-01 2.859000e+02 1.185000e+00 1.376670e+04 0.000000e+00 0.000000e+00
0.417210 1.796000e+01 2.575000e-01 1.249000e+00 1.661000e+00 2.854000e+02 1.176000e+00 2.717690e+04 0.000000e+00 0.000000e+00
0.492160 1.800000e+01 2.785000e-01 1.810000e+00 2.398000e+00 2.849000e+02 1.168000e+00 3.714478e+04 0.000000e+00 0.000000e+00
0.567110 1.716000e+01 2.985000e-01 1.486000e+00 1.965000e+00 2.844000e+02 1.159000e+00 2.923513e+04 0.000000e+00 0.000000e+00
0.642060 1.724000e+01 3.321000e-01 1.712000e+00 2.256000e+00 2.840000e+02 1.151000e+00 3.197627e+04 0.000000e+00 0.000000e+00
0.717010 1.672000e+01 3.591000e-01 2.515000e+00 3.292000e+00 2.835000e+02 1.143000e+00 4.304106e+04 0.000000e+00 0.000000e+00
0.791960 1.686000e+01 4.492000e-01 7.830000e+00 9.532000e+00 2.830000e+02 1.134000e+00 9.672625e+04 0.000000e+00 0.000000e+00
0.866900 1.608000e+01 6.981000e-01 2.939000e+01 1.357000e+01 2.825000e+02 1.126000e+00 1.002779e+05 0.000000e+00 0.000000e+00
0.941850 1.555000e+01 1.131000e+00 1.042000e+01 3.210000e+00 2.820000e+02 1.118000e+00 2.299999e+04 0.000000e+00 0.000000e+00
1.016800 1.404000e+01 1.271000e+00 1.203000e+00 3.707000e-01 2.815000e+02 1.110000e+00 2.588312e+03 0.000000e+00 0.000000e+00
1.129220 1.090000e+01 8.369000e-01 9.631000e-01 2.406000e-01 2.808000e+02 1.098000e+00 2.264514e+03 0.000000e+00 0.000000e+00
1.279120 1.144000e+01 1.002000e+00 9.080000e-01 2.270000e-01 2.798000e+02 1.081000e+00 2.063175e+03 0.000000e+00 0.000000e+00
1.429010 1.003000e+01 1.106000e+00 8.919000e-01 2.231000e-01 2.788000e+02 1.065000e+00 1.959438e+03 0.000000e+00 0.000000e+00
1.578910 1.228000e+01 1.334000e+00 9.538000e-01 2.387000e-01 2.779000e+02 1.050000e+00 2.026694e+03 0.000000e+00 0.000000e+00
1.728810 1.205000e+01 1.486000e+00 9.498000e-01 2.380000e-01 2.769000e+02 1.034000e+00 1.953035e+03 0.000000e+00 0.000000e+00
1.878700 1.196000e+01 1.625000e+00 9.791000e-01 2.456000e-01 2.759000e+02 1.019000e+00 1.948950e+03 0.000000e+00 0.000000e+00
2.028600 1.252000e+01 1.858000e+00 8.833000e-01 2.220000e-01 2.750000e+02 1.004000e+00 1.703250e+03 0.000000e+00 0.000000e+00
2.178500 9.426000e+00 1.670000e+00 9.425000e-01 2.372000e-01 2.740000e+02 9.885000e-01 1.759840e+03 0.000000e+00 0.000000e+00
2.328390 8.632000e+00 1.817000e+00 8.467000e-01 2.136000e-01 2.730000e+02 9.735000e-01 1.532558e+03 0.000000e+00 0.000000e+00
2.478290 6.647000e+00 1.707000e+00 8.653000e-01 2.186000e-01 2.720000e+02 9.588000e-01 1.517942e+03 0.000000e+00 0.000000e+00
2.628180 8.070000e+00 2.036000e+00 8.429000e-01 2.135000e-01 2.711000e+02 9.443000e-01 1.433987e+03 0.000000e+00 0.000000e+00
2.778080 7.080000e+00 1.945000e+00 8.398000e-01 2.132000e-01 2.701000e+02 9.300000e-01 1.385941e+03 0.000000e+00 0.000000e+00
2.927980 7.835000e+00 2.328000e+00 8.462000e-01 2.153000e-01 2.691000e+02 9.159000e-01 1.355078e+03 0.000000e+00 0.000000e+00
3.077870 7.681000e+00 2.374000e+00 8.476000e-01 2.162000e-01 2.682000e+02 9.019000e-01 1.317251e+03 0.000000e+00 0.000000e+00
3.227770 8.143000e+00 2.426000e+00 8.671000e-01 2.218000e-01 2.672000e+02 8.879000e-01 1.307945e+03 0.000000e+00 0.000000e+00
3.377670 8.547000e+00 3.082000e+00 8.214000e-01 2.111000e-01 2.662000e+02 8.742000e-01 1.203951e+03 0.000000e+00 0.000000e+00
3.527560 6.331000e+00 2.550000e+00 9.015000e-01 2.319000e-01 2.652000e+02 8.607000e-01 1.282054e+03 0.000000e+00 0.000000e+00
3.677460 9.966000e+00 3.281000e+00 8.060000e-01 2.090000e-01 2.642000e+02 8.473000e-01 1.115965e+03 0.000000e+00 0.000000e+00
3.827350 5.031000e+00 2.383000e+00 8.998000e-01 2.333000e-01 2.633000e+02 8.342000e-01 1.208791e+03 0.000000e+00 0.000000e+00
3.977250 6.433000e+00 3.085000e+00 1.014000e+00 2.623000e-01 2.623000e+02 8.213000e-01 1.321158e+03 0.000000e+00 0.000000e+00
4.127150 3.830000e+00 2.344000e+00 8.306000e-01 2.178000e-01 2.613000e+02 8.083000e-01 1.056268e+03 0.000000e+00 0.000000e+00
4.277040 7.556000e+00 3.330000e+00 8.507000e-01 2.240000e-01 2.604000e+02 7.955000e-01 1.052040e+03 0.000000e+00 0.000000e+00
4.426940 3.618000e+00 2.743000e+00 5.509000e+00 7.125000e-01 2.594000e+02 7.829000e-01 4.902395e+03 0.000000e+00 0.000000e+00
4.576830 5.828000e+00 3.634000e+00 1.186000e+00 1.850000e-01 2.584000e+02 7.704000e-01 1.037064e+03 0.000000e+00 0.000000e+00
4.726730 2.007000e+00 2.203000e+00 1.313000e+00 2.038000e-01 2.574000e+02 7.582000e-01 1.094935e+03 0.000000e+00 0.000000e+00
