2021/07/10 14:15:44-14:29:43 JST
fH2O= 58.55 /mnt/d/data/Na210710/14/Na142843.(00-0d)25ns 24000/40bin dz149.90 8330 shot 1.000mrad wid=0 fnum:14 fnum_noise:0
Altitude(km) W[g/kg] dW[g/kg] R355 dR355 T[K] RO[gm^-3] PZ^2_355 Wsonde[g/kg] dWsonde[g/kg]
0.190370 1.479000e+01 3.506000e-01 8.879000e-02 1.652000e-02 2.869000e+02 1.203000e+00 3.389202e+03 0.000000e+00 0.000000e+00
0.265320 1.457000e+01 2.891000e-01 2.061000e-01 3.789000e-02 2.864000e+02 1.194000e+00 7.659848e+03 0.000000e+00 0.000000e+00
0.340270 1.455000e+01 2.867000e-01 3.462000e-01 6.314000e-02 2.859000e+02 1.185000e+00 1.258184e+04 0.000000e+00 0.000000e+00
0.415210 1.405000e+01 3.001000e-01 4.681000e-01 8.494000e-02 2.854000e+02 1.177000e+00 1.666618e+04 0.000000e+00 0.000000e+00
0.490160 1.397000e+01 3.259000e-01 5.761000e-01 1.042000e-01 2.849000e+02 1.168000e+00 2.011700e+04 0.000000e+00 0.000000e+00
0.565110 1.285000e+01 3.370000e-01 6.526000e-01 1.178000e-01 2.845000e+02 1.160000e+00 2.236083e+04 0.000000e+00 0.000000e+00
0.640060 1.358000e+01 3.906000e-01 6.899000e-01 1.243000e-01 2.840000e+02 1.151000e+00 2.320916e+04 0.000000e+00 0.000000e+00
0.715010 1.289000e+01 4.386000e-01 6.597000e-01 1.186000e-01 2.835000e+02 1.143000e+00 2.179717e+04 0.000000e+00 0.000000e+00
0.789960 1.346000e+01 5.131000e-01 6.921000e-01 1.242000e-01 2.830000e+02 1.135000e+00 2.246318e+04 0.000000e+00 0.000000e+00
0.864900 1.319000e+01 5.836000e-01 7.593000e-01 1.362000e-01 2.825000e+02 1.126000e+00 2.421574e+04 0.000000e+00 0.000000e+00
0.939850 1.279000e+01 6.589000e-01 8.199000e-01 1.470000e-01 2.820000e+02 1.118000e+00 2.569700e+04 0.000000e+00 0.000000e+00
1.014800 1.281000e+01 7.552000e-01 8.931000e-01 1.601000e-01 2.815000e+02 1.110000e+00 2.750935e+04 0.000000e+00 0.000000e+00
1.127220 1.324000e+01 6.548000e-01 1.049000e+00 2.522000e-01 2.808000e+02 1.098000e+00 3.239341e+04 0.000000e+00 0.000000e+00
1.277120 1.366000e+01 8.900000e-01 2.583000e+00 5.488000e-01 2.798000e+02 1.082000e+00 6.725319e+04 0.000000e+00 0.000000e+00
1.427010 1.598000e+01 1.424000e+00 4.160000e+00 2.767000e-01 2.788000e+02 1.066000e+00 8.018353e+04 0.000000e+00 0.000000e+00
1.576910 1.259000e+01 2.054000e+00 1.036000e+00 6.903000e-02 2.779000e+02 1.050000e+00 1.927840e+04 0.000000e+00 0.000000e+00
1.726810 1.521000e+01 2.560000e+00 1.194000e+00 7.794000e-02 2.769000e+02 1.034000e+00 2.115857e+04 0.000000e+00 0.000000e+00
1.876700 1.176000e+01 3.317000e+00 1.540000e+00 8.625000e-02 2.759000e+02 1.019000e+00 2.527640e+04 0.000000e+00 0.000000e+00
2.026600 1.146000e+01 4.194000e+00 1.542000e+00 7.024000e-02 2.750000e+02 1.004000e+00 2.347267e+04 0.000000e+00 0.000000e+00
2.176500 1.174000e+01 5.470000e+00 1.334000e+00 5.510000e-02 2.740000e+02 9.887000e-01 1.917262e+04 0.000000e+00 0.000000e+00
